habitat_code,habitat_code
R1Q,1
U22,1
T29,1
T28,1
T24,1
R51,1
U3D,1
V13,1
R61,1
S25,1
S26,1
S31,1
S54,1
N12,1
S23,1
R11,1
T34,2
S37,2
T18,2
T16,2
S38,2
N32,2
U36,2
N16,2
N1C,2
R19,3
S92,3
N35,3
R1M,3
T23,3
R16,3
T32,3
T1B,3
T3B,3
N1B,3
R18,3
N14,3
T1C,4
R57,4
U33,4
T1H,4
S22,5
S91,5
N1G,6
V35,6
T3A,6
U26,6
R1P,6
T3N,6
Q43,7
R36,9
S81,9
T11,9
Q53,10
R44,11
U27,11
S35,11
S42,11
S64,11
T17,12
T36,12
T15,12
V39,13
N17,14
S32,14
T31,14
Q52,14
T1F,15
T21,15
R37,16
Q44,16
V34,17
T3G,17
Q41,17
Q54,19
R43,19
T35,22
U37,23
R55,23
Q24,23
S66,23
V32,25
T3F,25
T3J,26
T3K,26
R1B,28
Q22,29
MA241,38
Q11,38
T1E,40
T12,40
R23,44
Q25,48
Q42,55
V15,59
Q51,70
T19,87
V11,122
R21,126
V37,135
R35,168
V38,199
R22,292
R1A,346
