habitat_code,habitat_code
U2A,1
R1T,2
S34,2
U52,2
T26,3
S68,4
T38,7
U35,11
R65,12
R1L,13
R1J,14
N1E,16
U61,20
S82,21
U3B,21
U21,24
S94,25
T3E,25
N1K,26
T25,27
U25,28
Q46,33
T3H,34
T29,35
R53,36
S43,41
U3A,47
R24,50
U3C,52
N34,56
U62,58
T28,59
S64,59
N33,61
N1C,71
U3D,76
MA221,78
T1G,79
N35,89
T23,93
R17,96
S65,101
U29,105
S12,108
S71,110
U23,114
S62,117
R1K,118
U28,120
R15,123
S24,124
S72,129
V14,136
T1A,140
U34,142
N19,143
T3C,144
R32,145
U24,146
R1S,150
U32,159
Q23,165
R1C,167
S53,172
S66,174
S67,177
N18,182
S75,187
N1G,188
S76,189
R1N,234
T22,237
S63,248
N22,258
S74,259
T33,265
T27,273
U33,277
R42,277
R64,279
R52,291
S52,291
MA251,297
T39,311
Q31,322
S36,326
MA211,344
S54,352
N1J,353
T3D,358
S73,371
T1D,386
R61,404
V12,433
V33,434
N1B,452
T1C,461
S81,472
N1F,482
U38,489
S93,533
S31,551
MA232,563
R1D,573
R14,578
N21,593
N11,593
R34,596
U36,612
U22,626
R19,639
T3B,659
MA222,673
R1G,675
N12,676
S38,690
N1D,694
R45,707
Q54,726
R11,739
S23,759
R31,815
S25,898
R54,903
R1F,938
R51,945
S37,953
R1H,989
U27,999
N17,1006
N31,1047
Q45,1063
U26,1081
S33,1086
S91,1106
MA241,1121
Q12,1170
MA252,1176
R33,1183
T37,1247
MA225,1253
R62,1269
S61,1282
U37,1311
T24,1312
S11,1313
N32,1380
N1A,1429
T14,1429
R12,1552
R57,1555
S21,1600
R1E,1639
T13,1701
S26,1753
R56,1762
V34,1764
S41,1854
Q43,1907
R13,2114
Q44,2212
R1R,2229
Q21,2252
MA253,2402
T3K,2441
R1Q,2485
S32,2486
R41,2493
R1M,2742
T34,2767
S22,2987
N15,3167
T11,3237
S51,3239
R63,3239
S92,3318
V13,3379
S35,3489
V39,3559
Q42,3755
T36,3980
R18,3987
N1H,4032
N13,4135
T1H,4219
T16,4362
R23,4642
V35,4733
T3A,4976
R44,5019
T3J,5231
T15,5250
Q11,5357
Q41,5544
MA223,5625
R16,5857
R1P,5864
R1B,5975
N16,6114
T3F,6331
Q22,6850
N14,6885
V11,7260
Q25,7464
MA224,7609
V32,7896
Q53,7940
Q24,8075
T3G,8127
R37,8193
T32,8883
S42,8962
T35,9032
T18,9138
T3N,9821
T12,10114
T19,10215
T31,10571
T21,10715
R43,11069
V37,11491
T1F,12259
Q52,12674
R36,12719
V38,13856
T1B,13997
R55,14373
T1E,18748
V15,24128
Q51,24959
R35,27114
T17,36301
R21,37053
R1A,46683
R22,74483
